Temperature,Path,Number of holes,Image Area,Pixel Size,Cntour Pixel Area,Area in square nm,Density
150,images/sanitized/Si-NbT_TiP-Alu_150_0007.bmp,3,75604690548.00003,62.01172,27081.5,104140646.7221915,2.6453385173638622e-11
200,images/sanitized/Si-NbT_TiP-Alu_200_0001_0005.bmp,1,13440832.791466674,0.8268229,0,0.0,0.0
150,images/sanitized/Si-NbT_TiP-Alu_150_0004.bmp,10,483870097.53600484,4.960938,9740.5,239722.52833300046,1.8600033450776133e-08
200,images/sanitized/Si-NbT_TiP-Alu_200_0001_0007.bmp,80,8400518462.666835,20.67057,59881.5,25585716.060495205,9.404181462261866e-09
200,images/sanitized/Si-NbT_TiP-Alu_200_0001_0006.bmp,63,1344083279.146667,8.268229,110036.0,7522458.2775971815,4.6128094115836796e-08
150,images/sanitized/Si-NbT_TiP-Alu_150_0005.bmp,11,1344083279.146667,8.268229,16047.0,1097030.8624504886,7.440015179973678e-09
175,images/sanitized/Si-NbT_TiP-Alu_175_0005.bmp,50,8400518462.666835,20.67057,1210195.5,517083213.3578655,5.832973312035841e-09
175,images/sanitized/Si-NbT_TiP-Alu_175_0004.bmp,334,483870097.53600484,4.960938,778765.0,19166112.08636611,6.882012376787169e-07
175,images/sanitized/Si-NbT_TiP-Alu_175_0006.bmp,2,75604690548.00003,62.01172,2943.5,11319092.133994449,1.3226692586819311e-11
120,images/sanitized/Si-NbT_TiP-Alu_120_0006.bmp,1,1344083279.146667,8.268229,0,0.0,0.0
120,images/sanitized/Si-NbT_TiP-Alu_120_0007.bmp,1,8400518462.666835,20.67057,0,0.0,0.0
120,images/sanitized/Si-NbT_TiP-Alu_120_0005.bmp,1,19354803.901440196,0.9921876,0,0.0,0.0
120,images/sanitized/Si-NbT_TiP-Alu_120_0008.bmp,1,59737041853.62973,55.12153,0,0.0,0.0
200,images/sanitized/Si-NbT_TiP-Alu_200_0001_0008.bmp,3,75604690548.00003,62.01172,15738.0,60519745.8823865,2.6453385173638622e-11
